timestamp,fold_id,regime,close,prior_range_high,prior_range_low,prior_close,range_reclaim,trend_confirmation,volatility_ok,not_overextended,is_hypothesis_active,side,realized_vol,volatility_bucket,trend_strength,trend_strength_bucket,extension,excluded_regime_flag,future_return_used_only_for_label,event_return_forward_1h,event_return_forward_4h,event_return_forward_12h,event_return_forward_24h,event_return_forward_48h
2024-01-01 00:00:00+00:00,pre_wf,compression,42488.93,,,,False,False,True,True,False,long_only,0.0,low_vol,0.0,neutral,0.0,False,True,0.001910615306151442,-0.0031709435845996836,0.0038525328832710315,0.060507525136547446,0.062394369545196726
2024-01-01 01:00:00+00:00,pre_wf,compression,42570.11,,,42488.93,False,False,True,True,False,long_only,0.0,low_vol,0.0,neutral,0.0,False,True,-0.00026990768875156945,-0.007653022273139576,0.0033105387794394314,0.052381353959386034,0.06427702441924632
2024-01-01 02:00:00+00:00,pre_wf,liquidation_shock,42558.62,,,42570.11,False,False,True,True,False,long_only,0.0,low_vol,0.0,neutral,0.0,True,True,-0.005584532581178747,-0.003436436613781235,0.0016210582016051855,0.06676391292762784,0.06358594334120782
2024-01-01 03:00:00+00:00,pre_wf,liquidation_shock,42320.95,,,42558.62,False,False,True,True,False,long_only,0.0,low_vol,0.0,neutral,0.0,True,True,0.0007856628927280784,0.0039944755493437345,0.010123591270990051,0.07258201907093298,0.07006506233910148
2024-01-01 04:00:00+00:00,pre_wf,compression,42354.2,,,42320.95,False,False,True,True,False,long_only,0.0,low_vol,0.0,neutral,0.0,False,True,-0.0025943117801775495,0.004126627347465162,0.006524264417696601,0.06671829476179458,0.06716972578870584
2024-01-01 05:00:00+00:00,pre_wf,liquidation_shock,42244.32,,,42354.2,False,False,True,True,False,long_only,0.0,low_vol,0.0,neutral,0.0,True,True,0.003978049593412969,0.00876946297158998,0.012287569074375115,0.06956343480022875,0.06949289277233017
2024-01-01 06:00:00+00:00,pre_wf,compression,42412.37,,,42244.32,False,False,True,True,False,long_only,0.0,low_vol,0.0,neutral,0.0,False,True,0.0018303622268691644,0.006315846060948704,0.015378296473410824,0.0651802764146403,0.06743575046619665
2024-01-01 07:00:00+00:00,pre_wf,compression,42490.0,,,42412.37,False,False,True,True,False,long_only,0.0,low_vol,0.0,neutral,0.0,False,True,0.0009173923276066809,0.004151565074135055,0.019723464344551633,0.06938197222875964,0.05993033654977653
2024-01-01 08:00:00+00:00,pre_wf,compression,42528.98,,,42490.0,False,False,True,True,False,long_only,0.0,low_vol,0.0,neutral,0.0,False,True,0.0020174478673129492,0.0029071941062306372,0.025653566109509196,0.07582946969337145,0.06188791736834509
2024-01-01 09:00:00+00:00,pre_wf,compression,42614.78,,,42528.98,False,False,True,True,False,long_only,0.0,low_vol,0.0,neutral,0.0,False,True,0.00153608677552719,0.002258840712072274,0.02330928377431496,0.0718454958584791,0.06426596593951683
2024-01-01 10:00:00+00:00,pre_wf,compression,42680.24,,,42614.78,False,False,True,True,False,long_only,0.0,low_vol,0.0,neutral,0.0,False,True,-0.0003242718410204626,-0.0012331233376381423,0.019651482747051086,0.0673887963141726,0.058504825652339276
