run_id,strategy_id,trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,net_pnl,fees,slippage,holding_bars,holding_hours,entry_fill_id,exit_fill_id,attribution_source
20260516T061000Z_attribution,btc_perp_dual_trend,btc_perp_dual_trend_00001,BTCUSDT,long,2024-02-10T20:00:00+00:00,2024-02-13T20:00:00+00:00,47565.828724,49018.83462,0.2741315,398.31468578,387.72392632,10.59075946,10.59075946,72,72.0,fill_57ea28dbaf2f4d58,fill_a5e76618adb247b7,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend,btc_perp_dual_trend_00002,BTCUSDT,long,2024-02-10T20:00:00+00:00,2024-02-17T20:00:00+00:00,49636.27081519,51387.276864,0.02311,40.46574979,38.96117667,1.50457312,1.50457312,168,168.0,fill_57ea28dbaf2f4d58,fill_a9d27571a1904617,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend,btc_perp_dual_trend_00003,BTCUSDT,long,2024-02-10T20:00:00+00:00,2024-02-21T23:00:00+00:00,50743.85996383,51455.119716,0.33086318,235.32966341,216.12955717,19.20010624,19.20010624,267,267.0,fill_57ea28dbaf2f4d58,fill_2667c69340414ce3,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend,btc_perp_dual_trend_00004,BTCUSDT,long,2024-02-29T05:00:00+00:00,2024-03-03T05:00:00+00:00,62407.833152,61975.2,0.035792,-15.48480578,-17.26557279,1.78076701,1.78076701,72,72.0,fill_9a23d351c7f94d1b,fill_4d030fc2bf044b7e,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend,btc_perp_dual_trend_00005,BTCUSDT,long,2024-02-29T05:00:00+00:00,2024-03-07T05:00:00+00:00,62407.833152,65889.263748,0.0471345,164.09549043,161.51120514,2.58428529,2.58428529,168,168.0,fill_9a23d351c7f94d1b,fill_e5ebcfbfee974aba,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend,btc_perp_dual_trend_00006,BTCUSDT,long,2024-02-29T05:00:00+00:00,2024-03-11T17:00:00+00:00,62407.833152,72501.747696,0.1786165,1802.93968715,1791.51879304,11.42089411,11.42089411,276,276.0,fill_9a23d351c7f94d1b,fill_fb0196f2dad14f8d,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend,btc_perp_dual_trend_00007,BTCUSDT,long,2024-02-29T05:00:00+00:00,2024-03-15T20:00:00+00:00,70047.27550169,68942.821836,0.18281,-201.90517462,-218.59761926,16.69244464,16.69244464,375,375.0,fill_9a23d351c7f94d1b,fill_55a2e43f777c45be,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend,btc_perp_dual_trend_00008,BTCUSDT,long,2024-03-26T03:00:00+00:00,2024-03-29T03:00:00+00:00,70448.678204,70628.667228,0.1539755,27.71389996,19.02491804,8.68898192,8.68898192,72,72.0,fill_9c74f8b31de243c8,fill_d39642c0fe03471b,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend,btc_perp_dual_trend_00009,BTCUSDT,long,2024-03-31T06:00:00+00:00,2024-04-03T06:00:00+00:00,70390.855084,66218.591964,0.0216695,-90.41085568,-91.59495904,1.18410337,1.18410337,72,72.0,fill_65190a124b9d41df,fill_5df0c109cbb4462b,ledger_fills
20260516T061000Z_attribution,btc_perp_dual_trend,btc_perp_dual_trend_00010,BTCUSDT,long,2024-03-31T06:00:00+00:00,2024-04-13T14:00:00+00:00,68950.03508145,67682.386212,0.0195985,-24.84401637,-25.97614907,1.1321327,1.1321327,320,320.0,fill_65190a124b9d41df,fill_b1ea2856441d4691,ledger_fills
